id,season_code,flag_holiday,flag_working,category_weather,feature_temp,feature_feel_temp,feature_humidity,feature_wind,demand,Year,Hour,Day_of_Week,Month
1,4,0,1,2,0.26,0.2576,0.7,0.1642,34,2012,2,4,11
2,4,0,1,1,0.58,0.5455,0.64,0.0,341,2012,11,3,10
3,4,0,0,3,0.22,0.197,0.93,0.3284,67,2011,17,6,10
4,1,0,1,2,0.36,0.3636,0.66,0.1045,40,2011,1,3,12
5,1,0,0,2,0.04,0.0606,0.41,0.1642,96,2011,10,6,1
6,3,0,1,1,0.84,0.7879,0.49,0.3582,426,2012,12,5,7
7,4,1,0,1,0.52,0.5,0.83,0.0,365,2011,8,1,10
8,4,0,1,2,0.26,0.2576,0.75,0.2239,26,2012,2,3,11
9,1,0,0,1,0.22,0.2273,0.51,0.194,79,2012,23,6,12
10,4,0,1,3,0.36,0.3485,0.81,0.2239,262,2011,17,4,11
11,4,1,0,1,0.58,0.5455,0.6,0.2836,620,2012,14,1,11
12,2,0,0,1,0.52,0.5,0.48,0.1343,298,2012,21,0,4
13,2,0,1,2,0.64,0.6212,0.57,0.194,821,2011,17,4,5
14,4,0,0,2,0.36,0.3485,0.62,0.194,170,2011,21,6,11
15,2,0,1,3,0.5,0.4848,,0.2836,30,2011,2,3,5
16,1,0,1,1,0.16,0.1515,0.47,0.2537,119,2011,16,1,1
17,2,0,1,1,0.6,0.6212,0.53,0.2985,89,2012,0,4,6
18,2,0,1,1,0.66,0.6061,0.78,0.2239,32,2012,4,2,5
19,3,0,1,1,0.6,0.6212,0.4,0.194,548,2012,20,1,9
20,1,0,1,1,0.12,0.1061,,0.3582,64,2011,22,2,2
21,4,0,1,2,0.56,0.5303,0.83,0.2836,28,2011,2,3,10
22,2,0,1,1,0.54,0.5152,0.83,0.1045,361,2012,21,3,3
23,1,0,1,1,0.24,0.2273,0.6,0.2537,32,2012,2,5,12
24,2,0,1,2,0.66,0.6212,0.65,0.2836,332,2012,11,2,5
25,2,0,1,3,0.44,0.4394,0.77,0.2239,415,2011,17,2,4
26,2,0,1,2,0.58,0.5455,0.83,0.1343,61,2012,1,2,5
27,1,0,1,2,0.26,0.2727,0.56,0.1343,163,2012,11,1,3
28,4,0,1,1,0.42,0.4242,0.5,0.2836,343,2012,15,3,12
29,2,0,1,1,0.42,0.4242,0.5,0.2239,37,2012,1,2,4
30,4,0,1,1,0.44,0.4394,0.54,0.0,344,2011,16,2,12
31,4,0,1,1,0.54,0.5152,0.49,0.0896,278,2011,13,1,11
32,4,0,1,1,0.4,0.4091,0.82,0.1343,42,2012,1,1,12
33,2,0,1,1,0.34,0.3636,0.66,0.0,57,2012,5,3,4
34,4,0,0,1,0.68,0.6364,0.74,0.0,566,2011,18,0,9
35,2,0,0,2,0.38,0.3939,0.94,0.1343,134,2011,9,0,4
36,2,1,0,1,0.6,0.5758,0.78,0.1343,37,2012,5,1,5
37,3,0,1,1,0.76,0.6818,0.48,0.0896,398,2012,11,4,8
38,3,0,1,3,0.54,0.5152,0.83,0.3582,167,2011,10,2,9
39,2,0,0,3,0.34,0.3636,1.0,0.0,34,2011,5,6,4
40,1,0,0,1,0.36,0.3485,0.5,0.1642,131,2012,0,6,1
41,2,0,0,2,0.54,0.5152,0.56,0.194,288,2012,23,6,4
42,4,0,1,1,0.44,0.4394,0.18,0.4179,337,2012,15,4,11
43,3,0,0,1,0.94,0.8788,0.38,0.1343,321,2011,16,6,7
44,4,0,1,2,0.66,0.6212,0.5,0.2239,698,2012,16,5,9
45,1,0,1,1,0.4,0.4091,0.43,0.2239,231,2012,21,5,1
46,3,0,1,1,0.68,0.6364,0.69,0.3881,32,2011,2,4,8
47,2,0,1,1,0.64,0.6212,0.29,0.1642,418,2011,20,5,6
48,2,0,1,2,0.7,0.6667,,0.1045,887,2012,8,3,6
49,1,0,1,3,0.2,0.1818,1.0,0.3284,30,2011,0,1,3
50,4,0,0,1,0.54,0.5152,0.68,0.1343,357,2011,19,6,10
51,1,0,1,1,0.24,0.2273,0.56,0.194,155,2011,13,2,1
52,4,0,1,1,0.32,0.3182,0.7,0.1642,26,2011,3,3,11
53,1,0,1,2,0.3,0.3182,0.49,,313,2011,17,4,1
54,2,0,1,1,0.8,0.7576,0.55,0.194,1112,2012,17,2,6
55,4,0,1,3,0.62,0.5758,0.83,0.2985,88,2012,22,4,9
56,1,0,1,1,0.34,0.3333,0.31,0.1642,584,2012,18,4,2
57,3,0,0,2,0.66,0.6212,0.69,0.0,371,2012,9,0,7
58,1,0,1,3,0.4,0.4091,0.87,0.194,37,2011,0,5,12
59,3,0,1,2,0.76,0.697,0.52,0.2537,222,2011,11,5,8
60,1,0,1,1,0.3,0.2879,,0.2537,183,2011,10,5,12
61,4,0,1,3,0.6,0.5,1.0,0.0,42,2011,4,5,9
62,4,1,0,1,0.32,0.3182,0.39,0.1642,292,2011,19,5,11
63,2,0,0,1,0.58,0.5455,0.46,0.1343,331,2012,22,6,6
64,1,0,0,1,0.4,0.4091,0.37,0.2985,150,2011,21,6,3
65,3,0,1,1,0.74,0.697,0.66,0.2239,532,2012,21,2,7
66,3,0,0,3,0.68,0.6364,0.65,0.0896,32,2011,4,0,7
67,1,0,1,3,0.32,0.3333,0.81,0.1045,123,2012,14,3,1
68,2,0,1,2,0.56,0.5303,0.64,0.4627,148,2011,12,2,4
69,1,0,1,3,0.34,0.3333,1.0,0.1343,72,2011,7,5,2
70,1,1,0,2,0.24,0.2576,0.87,0.0896,80,2012,0,1,2
71,4,0,1,1,0.42,0.4242,,0.1343,676,2011,17,1,10
72,2,0,1,1,0.34,0.303,0.53,0.3582,152,2011,12,5,4
73,4,0,0,1,0.54,0.5152,0.83,0.2537,40,2012,4,6,10
74,3,0,0,3,0.76,0.7273,0.67,0.2537,302,2012,20,6,9
75,1,0,1,2,0.2,0.2273,0.59,0.0896,109,2011,14,2,1
76,2,0,1,1,0.22,0.2273,0.44,0.194,33,2011,1,1,3
77,1,0,1,1,0.48,0.4697,0.82,0.1045,40,2011,2,4,12
78,2,0,1,1,0.54,0.5152,0.37,0.3582,766,2012,19,4,5
